NU_INSCRICAO;NU_ANO;TP_ST_CONCLUSAO;TP_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_STATUS_REDACAO;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q022;Q024;Q025
190002596472;2019;2;2;;;;;3111200;Campo Belo;1;1;1;1;579.1;563.9;565.3;518.1;1.0;600.0;B;B;A;B;3;B;C;A;A
190002634344;2019;3;1;;;;;3111200;Campo Belo;0;1;1;0;;579.4;559.5;;1.0;600.0;B;F;A;D;3;G;C;B;B
190002634352;2019;2;2;3111903.0;Cana Verde;MG;2.0;3111200;Campo Belo;1;1;1;1;513.9;560.0;548.8;588.0;1.0;760.0;C;C;A;A;4;E;E;C;B
190002627546;2019;2;2;3111200.0;Campo Belo;MG;4.0;3111200;Campo Belo;1;1;1;1;538.3;574.1;547.5;616.5;1.0;920.0;B;D;A;C;4;C;C;B;B
190002633795;2019;2;3;3111200.0;Campo Belo;MG;4.0;3111200;Campo Belo;1;1;1;1;650.7;677.6;683.0;801.5;1.0;920.0;G;F;E;D;3;Q;D;C;B
190002634151;2019;2;2;3158805.0;Santana do Jacaré;MG;2.0;3111200;Campo Belo;1;1;1;1;473.9;526.3;543.9;608.4;1.0;800.0;C;D;A;A;5;E;D;A;B
190002631275;2019;2;2;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;1;1;1;1;429.5;427.3;487.6;380.9;1.0;440.0;B;D;B;B;4;B;C;A;B
190002596487;2019;2;3;;;;;3111200;Campo Belo;1;1;1;1;478.8;613.4;592.3;571.6;1.0;700.0;G;F;E;E;3;O;D;B;B
190002613336;2019;2;2;3100807.0;Aguanil;MG;2.0;3111200;Campo Belo;1;1;1;1;349.9;481.0;476.0;423.4;1.0;280.0;D;D;C;C;4;B;C;B;B
190002633840;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;532.6;561.7;599.6;666.0;1.0;720.0;E;E;F;D;3;D;D;C;B
190002637039;2019;2;2;3158805.0;Santana do Jacaré;MG;2.0;3111200;Campo Belo;0;1;1;0;;453.6;493.1;;1.0;360.0;B;B;A;A;5;C;D;A;B
190002593182;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;563.1;571.6;562.4;722.5;1.0;920.0;D;E;C;D;4;D;E;B;B
190002637093;2019;2;2;;;;;3111200;Campo Belo;1;1;1;1;428.5;364.4;498.3;441.4;1.0;520.0;B;B;A;A;3;B;B;A;B
190002617263;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;496.6;566.9;579.1;496.4;1.0;700.0;C;A;B;A;3;F;D;B;B
190002634284;2019;2;2;3120201.0;Cristais;MG;2.0;3111200;Campo Belo;1;1;1;1;547.9;581.8;582.7;440.9;1.0;620.0;B;B;C;C;4;E;C;A;B
190002630673;2019;2;2;;;;;3111200;Campo Belo;1;1;1;1;495.5;567.1;542.2;569.0;1.0;600.0;C;B;B;B;3;B;C;A;A
